
Nome: Felipe, Tema: 100 Anos de Semana de Arte Moderna, Satisfacao: 20
Nome: Debora, Tema: 150 Anos de Santos Dumont, Satisfacao: 16
Nome: Lucas, Tema: Jogos Olímpicos de Paris 2024, Satisfacao: 12
Nome: Max, Tema: Copa do mundo 2002, Satisfacao: 8
Nome: Jonathan, Tema: 150 Anos de Santos Dumont, Satisfacao: 20
Nome: Alice, Tema: 150 Anos de Santos Dumont, Satisfacao: 10
Nome: Junia, Tema: 100 Anos de Semana de Arte Moderna, Satisfacao: 15
Nome: Cheila, Tema: Jogos Olímpicos de Paris 2024, Satisfacao: 14
Nome: Vitor, Tema: Copa do mundo 2002, Satisfacao: 17
Nome: Felipe, Tema: 100 Anos de Semana de Arte Moderna, Satisfacao: 20
